Time(s) pitch(rad) yaw(rad) roll(rad) pitchspeed(rad/s) yawspeed(rad/s) rollspeed(rad/s) lat(deg) lon(deg) alt[MSL](mm) vnorth[NED](cm/s) veast[NED](cm/s) vdown[NED](cm/s) IAS(m/s) AOA() Sideslip() RCch1() RCch2() RCch3() RCch4() 
0.0 0.0002711945614398579 -2.1248011406134172e-05 -0.00030988885025168815 0.027119627603994695 -0.0021201044693844842 -0.030988788360345944 0.6996107744832716 5.26991887870732e-08 99.99910117283505 34.96108129523842 9.559678856057532e-06 -0.08988451366129759 30.034559123987513 0.003107194673630264 -0.06676471203190021 0.0 -0.0846925174061549 0.634918212890625 -0.0
0.02 0.0009973077384706388 -0.001691005621933633 0.0005482149181292185 0.04544165905778981 -0.16484946015548707 0.1169413270734469 1.3985987258436852 0.0001646777068427542 99.99615205402856 34.93772454390968 0.01644454649056695 -0.2050185067113967 30.00333016684109 0.008762695862060663 -0.0648386911630913 0.0 -0.0846925174061549 0.634918212890625 -0.0
0.04 0.0020703062809582194 -0.006304633203163626 0.0036999575887174865 0.0607747207818221 -0.2967329089642997 0.1989815140074599 2.0971246402642993 0.0006533026603853871 99.99094781296179 34.91489358166405 0.032378074888686714 -0.3154116900785987 29.955275516729998 0.013307959408431888 -0.05950685421739373 0.0 -0.0846925174061549 0.634918212890625 -0.0
0.06 0.003454854529803185 -0.01320466722584705 0.007962098915930197 0.07355260770979895 -0.39406462953795673 0.22917433104719814 2.7951964849475863 0.0014506182833610094 99.9835719735245 34.89232920917091 0.04730343490313842 -0.4221861995402876 29.90092143636144 0.018561749441883584 -0.051034246156448825 0.0 -0.0846925174061549 0.630950927734375 -0.0
0.08 0.0051155816161673725 -0.021675311136378536 0.012413607366450058 0.0838157616697005 -0.4546480766422043 0.21962915104451272 3.4928229203500063 0.002530880940676654 99.97410238969537 34.87035923688743 0.06067710511210193 -0.5247882689298423 29.857988939495694 0.02388908563602779 -0.041799350132926294 0.0 -0.0846925174061549 0.630950927734375 -0.0
0.1 0.00700816967530795 -0.031022110995191678 0.01639639733619383 0.09192899738859484 -0.48265714325342496 0.18432381887627639 4.190015485987108 0.0038624512478868628 99.96262367907843 34.84894473160225 0.07244709078633661 -0.6230976187454067 29.816633759515224 0.02950655487289032 -0.030271984549222926 0.0 -0.0846925174061549 0.630950927734375 -0.0
0.12000000000000001 0.009080192294505046 -0.040592459901787406 0.019455673081105053 0.0980775515817811 -0.47792490238548724 0.12929318763044298 4.886785157828885 0.005407959038657754 99.9492243193304 34.828068459116395 0.08208798199847811 -0.716850024410286 29.777424460941077 0.035147177755744725 -0.019148495256048618 0.0 -0.0846925174061549 0.630950927734375 -0.0
0.14 0.011273158809216565 -0.049797443894382246 0.02130515429483892 0.10240928694907293 -0.4468239710256844 0.06499862048148491 5.583142350219356 0.007125330519771517 99.93399572788849 34.80769338041745 0.08965148852517044 -0.8060175398634433 29.748627978536863 0.03990226873338426 -0.007657552543251614 0.0 -0.0846925174061549 0.630950927734375 -0.0
0.16 0.013530788339520629 -0.05814813577543823 0.02181607096573994 0.10527665324237338 -0.3928761578230147 -0.003587923161786702 6.279095330490501 0.008970946392452252 99.9170226836289 34.787642731440314 0.09492903722081197 -0.8912927239081471 29.706705700413007 0.04569802496160223 0.0030845755347192996 0.0 -0.0846925174061549 0.630950927734375 -0.0
0.18 0.015798013343368698 -0.06524779140200937 0.020969551943125532 0.1061577353396823 -0.3217231016160258 -0.07070036146274834 6.97465188087041 0.010899409292951008 99.89839083745707 34.76804544194324 0.09794993020417157 -0.9718963425502818 29.687518524513113 0.05067078198795762 0.012574851018112542 0.0 -0.0846925174061549 0.630950927734375 -0.0
0.19999999999999998 0.01802375990517387 -0.07081455771299272 0.018849774652109245 0.10520968312694531 -0.23921686512082252 -0.13191724939805075 7.6698193489936966 0.01286670555501646 99.8781880573352 34.748730294589215 0.09882263073728591 -1.048386105851475 29.66965470046234 0.05469739633389714 0.019333756650508786 0.0 -0.0846925174061549 0.630950927734375 -0.0
0.21999999999999997 0.020170636571841732 -0.07470874799482503 0.015643387159174734 0.10262689864185415 -0.15379554624220854 -0.18133865821294382 8.364602358919498 0.014834358321459754 99.85648832838781 34.7295969903879 0.09799210020404896 -1.1215923901455027 29.657993182690962 0.05956154978111319 0.023969745690716228 0.0 -0.0846925174061549 0.630950927734375 -0.0
0.23999999999999996 0.022208055428456257 -0.07693011880687908 0.011612251917324162 0.09795547908218699 -0.07106485476120916 -0.21711773810417453 9.059005886780668 0.01677149222006615 99.8333647279484 34.7107799555919 0.09577268866863548 -1.1907747568893035 29.610397464224345 0.06392541680370012 0.026203789946325225 0.0 -0.0846925174061549 0.630950927734375 -0.0
0.25999999999999995 0.02410857779270636 -0.07758863845211432 0.007048785174009702 0.09136587170297533 0.0034458855201429106 -0.23774563863126913 9.753037080464786 0.018654388412633185 99.80889007819125 34.69236219646033 0.09256711880551381 -1.256698628919381 29.56725215193713 0.0692100094748423 0.025321420394015075 0.0 -0.0846925174061549 0.630950927734375 -0.0
0.27999999999999997 0.025845484302639454 -0.07690934210107327 0.0022739542952462275 0.0825528033170822 0.06364114276640823 -0.24146427835840073 10.446706029853866 0.020469349386408302 99.78313741235142 34.67455382509331 0.08897436685135635 -1.318576858447615 29.563450563442082 0.07385465655301521 0.02433247304164156 0.0 -0.0846925174061549 0.630950927734375 -0.0
