Time(s) pitch(rad) yaw(rad) roll(rad) pitchspeed(rad/s) yawspeed(rad/s) rollspeed(rad/s) lat(deg) lon(deg) alt[MSL](mm) vnorth[NED](cm/s) veast[NED](cm/s) vdown[NED](cm/s) IAS(m/s) AOA() Sideslip() RCch1() RCch2() RCch3() RCch4() 
0.0 0.0010971304033503813 -2.6058377889988585e-05 -0.0003594729321753105 0.1097133084038322 -0.002583791152895282 -0.03594672171303743 0.6995906441746088 1.6064477034155114e-07 99.99924325666993 34.95907474298969 1.8474826163871164e-05 -0.07568186978429046 30.04468776977905 0.0023774506296614837 -0.06676953277324693 -0.00023487914340417348 -0.20021596919686743 0.6001330488484563 -0.00015583380912251188
0.02 0.004074907820259007 -0.0017137743847352915 0.0003679853369944548 0.18804044016911053 -0.16612728892056064 0.1092778927129393 1.3985167126909053 0.00016489219615709128 99.99667636958877 34.933579430247555 0.016455682302536138 -0.18100761548484626 30.00221265042524 0.00884171593881542 -0.06419680881474608 -0.0006912888581367619 -0.19987135932133004 0.6003961559724558 0.0002846111753784667
0.04 0.008585499788485544 -0.006339836744231427 0.003316781521762895 0.2620702770445371 -0.29727495838314577 0.18870247296377066 2.0969373552504553 0.0006519144260959981 99.99205589054137 34.90856551885486 0.03221972638773804 -0.2810606383880098 29.952652280366028 0.016799021352189532 -0.058659453869866963 -0.0009840880597961406 -0.1996590009063564 0.5999773750890659 0.0007534302472260745
0.06 0.014559017283208287 -0.013215279958302057 0.007294432903579161 0.33153015209285397 -0.3933946191228561 0.21717605060407866 2.7948630212247214 0.0014442598410970109 99.9854994532167 34.884106637686166 0.046981020506825934 -0.37461538154463325 29.919778899494542 0.02697161343454885 -0.05039716428122157 -0.0010094439238530891 -0.20005596667930262 0.5998720788200625 0.0005445854879990897
0.08 0.021910783683833535 -0.02161682931577725 0.01137936225818894 0.3957071555673995 -0.45349430337903546 0.20674480600728373 3.492305310185501 0.0025179644164506805 99.9771563195271 34.86024224018352 0.06036277050825419 -0.45973638355921953 29.878274725652034 0.037191541181440205 -0.03966557148447379 -0.0010255943246093254 -0.19994972289991655 0.5995810099605562 0.00014494185285504081
0.1 0.030540013574434716 -0.030814391831699088 0.014879624005429914 0.45503961915086616 -0.4772734532849814 0.16743184950462048 4.189275064839668 0.0038406496203480106 99.96719450556317 34.83685902479183 0.07189279327567716 -0.5364856313953259 29.83998499684429 0.05148390725267664 -0.02817283547030671 -0.0009442634485127327 -0.1999695544778327 0.5993004577788776 -0.0001568121010806742
0.12000000000000001 0.040325131219476784 -0.04012105740168295 0.017333459429976474 0.508352938572309 -0.4685478740617171 0.11086530188728044 4.88578541289198 0.005374068589600894 99.95581668314682 34.81429452295431 0.08145235935174573 -0.6013369339560397 29.820453381652552 0.06432661905981588 -0.016830971802769046 -0.0004589100528606045 -0.2001566138258463 0.5993317707810899 -0.00037124454846724727
0.14 0.05113197956273864 -0.04895419521339458 0.01851477506576051 0.5563285751943462 -0.4331814685208083 0.04750341753581881 5.581849274311121 0.007078148470049934 99.94324916100264 34.79219842138071 0.08897159997323592 -0.6554554335693588 29.805137183082437 0.07967530959153812 -0.006517965059578543 2.390529396221233e-05 -0.20007734766101293 0.5997389889174419 0.00010071005914148663
0.16 0.06282481831062889 -0.05686482024281972 0.018369216589691234 0.5981605388243086 -0.37814209362408785 -0.017225214081162538 6.277477862743324 0.00891346502648347 99.92972853058595 34.77074639460643 0.09458349472746337 -0.6966477061579006 29.754565225861768 0.09435191216618738 0.002124869390136086 0.0002647827615179217 -0.20029274546869288 0.5996121349093936 7.338858815764777e-10
0.18 0.07526496805096708 -0.06355066602887086 0.016962903688348144 0.6338231236745361 -0.3108335821869537 -0.07754796499566635 6.97268314867703 0.010843564481923255 99.91550290004439 34.74984559748701 0.0984513442493506 -0.7259562068247947 29.724464741221507 0.11020821297115899 0.010672276612579088 0.0004025526611050917 -0.20024463344813875 0.5999422677879751 -0.0003706289529642275
0.19999999999999998 0.08831471503372026 -0.06880705759827571 0.014443708465520415 0.6626848161133221 -0.23358187824410018 -0.1317406499273862 7.667476333159549 0.012831060030827745 99.90082127999433 34.72950806191934 0.10031887917898163 -0.7422477815774897 29.69231289685431 0.12514477308131705 0.01666098441328899 0.0007019590649095459 -0.19990948148685034 0.6002987372472587 -0.00021648639703498676
0.21999999999999997 0.1018442207670086 -0.07253407229112245 0.011022166406777834 0.6853368454586694 -0.15472338014619919 -0.1753558074361633 8.361866233229968 0.014839186169380831 99.88593555534457 34.70948942222455 0.10050617654364574 -0.7463687367700795 29.671001795372806 0.1410540622721473 0.020546336119079668 0.0004049122267867115 -0.2001495006051441 0.6005245470842392 0.00010704759898116424
0.23999999999999996 0.11573060009211338 -0.07475983966940848 0.006966033005059413 0.7011548260716871 -0.07908833900282937 -0.2064063343089098 9.05586005964051 0.01683676093104987 99.87109773474953 34.6898700935111 0.09925237523666698 -0.737459154762917 29.665564088017458 0.15790793423127783 0.022734375951800945 0.0007274237214757685 -0.19992407900534215 0.6005662157422736 -3.0328949228246012e-05
